rank,finalWorth,category,personName,age,country,city,source,industries,selfMade,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
12,79200,Technology,Larry Page,50,United States,Palo Alto,Google,Technology,TRUE,M,3/26/1973 0:00,Page,Larry,1973,3,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,TRUE,M,3/28/1936 0:00,Ortega,Amancio,1936,3,28,110.96,"$1,394,116,310,769 ",83.3,14.2,47,47076781
14,76000,Technology,Sergey Brin,49,United States,Los Altos,Google,Technology,TRUE,M,8/21/1973 0:00,Brin,Sergey,1973,8,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
15,68000,Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,TRUE,M,12/01/1954 00:00,Zhong,Shanshan,1954,12,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
16,64400,Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,TRUE,M,5/14/1984 0:00,Zuckerberg,Mark,1984,5,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
17,59000,Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,FALSE,M,11/01/1935 00:00,Koch,Charles,1935,11,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
17,59000,Diversified,Julia Koch & family,60,United States,New York,Koch Industries,Diversified,FALSE,F,04/12/1962 00:00,Koch,Julia,1962,4,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
19,58800,Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,FALSE,M,06/07/1948 00:00,Walton,Jim,1948,6,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,FALSE,M,10/27/1944 0:00,Walton,Rob,1944,10,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
21,56700,Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,FALSE,F,10/07/1949 00:00,Walton,Alice,1949,10,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,Media & Entertainment,FALSE,M,06/12/1957 00:00,Thomson,David,1957,6,12,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981
23,50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,TRUE,M,2/23/1965 0:00,Dell,Michael,1965,2,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
24,47200,Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,TRUE,M,6/24/1962 0:00,Adani,Gautam,1962,6,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,TRUE,M,2/24/1938 0:00,Knight,Phil,1938,2,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
26,45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,Technology,TRUE,M,01/01/1984 00:00,Zhang,Yiming,1984,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,Fashion & Retail,FALSE,M,9/24/1939 0:00,Schwarz,Dieter,1939,9,24,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
28,40100,Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,Fashion & Retail,TRUE,M,8/21/1936 0:00,Pinault,François,1936,8,21,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,Logistics,FALSE,M,06/02/1937 00:00,Kuehne,Klaus-Michael,1937,6,2,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,FALSE,M,9/21/1964 0:00,Ferrero,Giovanni,1964,9,21,117.11,"$529,606,710,418 ",81.6,24,55.4,11484055
31,38300,Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",Food & Beverage,FALSE,F,10/10/1939 00:00,Mars,Jacqueline,1939,10,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
31,38300,Food & Beverage,John Mars,87,United States,Jackson,"Candy, pet food",Food & Beverage,FALSE,M,10/15/1935 0:00,Mars,John,1935,10,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
34,35300,Technology,Ma Huateng,51,China,Shenzhen,Internet media,Technology,TRUE,M,10/29/1971 0:00,Ma,Huateng,1971,10,29,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,Gambling & Casinos,FALSE,F,10/10/1945 00:00,Adelson,Miriam,1945,10,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
35,35000,Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,Finance & Investments,TRUE,M,10/15/1968 0:00,Griffin,Ken,1968,10,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Food & Beverage,FALSE,M,05/07/1992 00:00,Mateschitz,Mark,1992,5,7,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,Automotive,TRUE,M,01/01/1969 00:00,Zeng,Robin,1969,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,TRUE,M,02/07/1949 00:00,Yanai,Tadashi,1949,2,7,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568
40,32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",Diversified,TRUE,M,06/01/1957 00:00,Blavatnik,Len,1957,6,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,Fashion & Retail,FALSE,M,8/28/1948 0:00,Wertheimer,Alain,1948,8,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,Fashion & Retail,FALSE,M,01/09/1951 00:00,Wertheimer,Gerard,1951,1,9,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Logistics,TRUE,M,6/27/1940 0:00,Aponte,Gianluigi,1940,6,27,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Logistics,TRUE,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,1945,3,26,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,TRUE,M,02/02/1980 00:00,Huang,Colin Zheng,1980,2,2,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Manufacturing,TRUE,M,4/20/1935 0:00,Wuerth,Reinhold,1935,4,20,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
48,28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",Finance & Investments,TRUE,M,7/17/1958 0:00,Yass,Jeff,1958,7,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
49,28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,TRUE,M,4/25/1938 0:00,Simons,Jim,1938,4,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,TRUE,M,2/14/1947 0:00,Schwarzman,Stephen,1947,2,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
51,27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,FALSE,F,4/28/1962 0:00,Klatten,Susanne,1962,4,28,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,FALSE,F,02/09/1954 00:00,Rinehart,Gina,1954,2,9,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
53,26700,Technology,William Ding,51,China,Hangzhou,Online games,Technology,TRUE,M,10/01/1971 00:00,Ding,William,1971,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Metals & Mining,FALSE,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,1953,10,26,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024
55,25600,Technology,Shiv Nadar,77,India,Delhi,software services,Technology,TRUE,M,7/18/1945 0:00,Nadar,Shiv,1945,7,18,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Energy,TRUE,M,4/17/1948 0:00,Low Tuck,Kwong,1948,4,17,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,Finance & Investments,TRUE,M,9/30/1944 0:00,Peterffy,Thomas,1944,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,TRUE,M,03/08/1972 00:00,Melnichenko,Andrey,1972,3,8,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529
59,24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,Automotive,FALSE,M,05/09/1966 00:00,Quandt,Stefan,1966,5,9,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
60,24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,Technology,FALSE,F,04/07/1970 00:00,Scott,MacKenzie,1970,4,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,FALSE,M,01/01/1941 00:00,Hartono,R. Budi,1941,1,1,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,TRUE,M,01/03/1961 00:00,Potanin,Vladimir,1961,1,3,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
63,23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,Technology,TRUE,M,09/10/1964 00:00,Ma,Jack,1964,9,10,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
64,23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,Manufacturing,TRUE,M,08/11/1942 00:00,He,Xiangjian,1942,8,11,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,FALSE,F,01/01/1943 00:00,Fontbona,Iris,1943,1,1,131.91,"$282,318,159,745 ",80,18.2,34,18952038
65,23100,Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,FALSE,M,10/02/1939 00:00,Hartono,Michael,1939,10,2,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,01/01/1953 00:00,Ratcliffe,James,1953,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
68,22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,Healthcare,FALSE,M,05/11/1941 00:00,Poonawalla,Cyrus,1941,5,11,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
69,22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Telecom,TRUE,M,08/11/1957 00:00,Son,Masayoshi,1957,8,11,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Metals & Mining,TRUE,M,05/07/1956 00:00,Lisin,Vladimir,1956,5,7,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,Food & Beverage,FALSE,M,9/18/1970 0:00,Besnier,Emmanuel,1970,9,18,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
72,21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,FALSE,F,12/19/1961 0:00,Johnson,Abigail,1961,12,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
72,21600,Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",Energy,TRUE,M,08/11/1955 00:00,Mikhelson,Leonid,1955,8,11,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
74,21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,Fashion & Retail,FALSE,M,9/19/1986 0:00,Walton,Lukas,1986,9,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
74,21200,Service,Wang Wei,52,China,Shenzhen,Package delivery,Service,TRUE,M,10/01/1970 00:00,Wang,Wei,1970,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,TRUE,M,2/17/1963 0:00,Huang,Jensen,1963,2,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,FALSE,M,3/19/1933 0:00,Lauder,Leonard,1933,3,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,Manufacturing,TRUE,M,06/10/1945 00:00,Takizaki,Takemitsu,1945,6,10,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Metals & Mining,TRUE,M,9/26/1965 0:00,Mordashov,Alexey,1965,9,26,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
80,20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,Energy,TRUE,M,09/01/1950 00:00,Alekperov,Vagit,1950,9,1,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,Healthcare,TRUE,M,08/12/1938 00:00,Frist,Thomas,1938,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,Metals & Mining,TRUE,M,11/18/1961 0:00,Forrest,Andrew,1961,11,18,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
83,19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,M,08/08/1949 00:00,Dalio,Ray,1949,8,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
84,19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,Automotive,TRUE,M,06/01/1963 00:00,Li,Eric,1963,6,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
84,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,TRUE,M,03/01/1968 00:00,Wang,Wenyin,1968,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
86,18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,Food & Beverage,TRUE,M,4/17/1965 0:00,Qin,Yinglin,1965,4,17,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,TRUE,M,2/15/1966 0:00,Wang,Chuanfu,1966,2,15,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
89,18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,TRUE,M,12/11/1945 00:00,Hamm,Harold,1945,12,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
89,18500,Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,Finance & Investments,TRUE,M,09/11/1957 00:00,Tepper,David,1957,9,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
89,18500,Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",Energy,TRUE,M,11/09/1952 00:00,Timchenko,Gennady,1952,11,9,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,TRUE,M,1/17/1962 0:00,Gilbert,Daniel,1962,1,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,Metals & Mining,FALSE,M,6/15/1950 0:00,Mittal,Lakshmi,1950,6,15,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
94,17500,Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,M,06/11/1956 00:00,Cohen,Steve,1956,6,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
94,17500,Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,Finance & Investments,TRUE,M,2/16/1936 0:00,Icahn,Carl,1936,2,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Hisar,Steel,Metals & Mining,FALSE,F,3/20/1950 0:00,Jindal,Savitri,1950,3,20,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
97,17400,Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,TRUE,M,05/11/1932 00:00,Bren,Donald,1932,5,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,Fashion & Retail,TRUE,M,1/22/1940 0:00,Menard,John,1940,1,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,FALSE,M,03/11/1931 00:00,Murdoch,Rupert,1931,3,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,Finance & Investments,FALSE,F,01/01/1953 00:00,Safra,Vicky,1953,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,FALSE,M,01/01/1951 00:00,Albrecht,Theo,1951,1,1,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,FALSE,F,07/04/1967 00:00,Kellnerova,Renata,1967,7,4,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709
103,16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,TRUE,M,01/01/1951 00:00,Li,Xiting,1951,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,Fashion & Retail,FALSE,M,10/04/1947 00:00,Persson,Stefan,1947,10,4,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453
104,16200,Technology,Eric Schmidt,67,United States,Atherton,Google,Technology,TRUE,M,4/27/1955 0:00,Schmidt,Eric,1955,4,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,Finance & Investments,TRUE,M,3/18/1968 0:00,Platt,Michael,1968,3,18,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
107,15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,TRUE,M,1/19/1956 0:00,Pang,Kang,1956,1,19,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,Food & Beverage,TRUE,M,8/26/1939 0:00,Lemann,Jorge Paulo,1939,8,26,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
112,15600,Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,Healthcare,TRUE,M,10/01/1955 00:00,Shanghvi,Dilip,1955,10,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
113,15500,Technology,Robert Pera,45,United States,San Jose,Wireless networking,Technology,TRUE,M,03/10/1978 00:00,Pera,Robert,1978,3,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
114,15300,Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",Fashion & Retail,TRUE,M,01/01/1955 00:00,Damani,Radhakishan,1955,1,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
115,15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,Automotive,TRUE,M,01/01/1967 00:00,Huang,Shilin,1967,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,Diversified,FALSE,M,4/19/1939 0:00,Chearavanont,Dhanin,1939,4,19,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582
116,14900,Fashion & Retail,David Green & family,81,United States,Oklahoma City,Retail,Fashion & Retail,TRUE,M,11/13/1941 0:00,Green,David,1941,11,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,TRUE,M,05/02/1944 00:00,Sirivadhanabhakdi,Charoen,1944,5,2,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,Food & Beverage,FALSE,F,6/30/1954 0:00,de Carvalho-Heineken,Charlene,1954,6,30,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
120,14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,Healthcare,TRUE,M,5/22/1962 0:00,Xu,Hang,1962,5,22,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
121,14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,Automotive,TRUE,M,03/01/1964 00:00,Wei,Jianjun,1964,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,Manufacturing,TRUE,M,6/27/1927 0:00,Goh,Cheng Liang,1927,6,27,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
124,14200,Diversified,Kumar Birla,55,India,Mumbai,Commodities,Diversified,FALSE,M,6/14/1967 0:00,Birla,Kumar,1967,6,14,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,Lagos,"Cement, sugar",Manufacturing,TRUE,M,04/10/1957 00:00,Dangote,Aliko,1957,4,10,267.51,"$448,120,428,859 ",54.3,1.5,34.8,200963599
127,14000,Diversified,Idan Ofer,67,United Kingdom,London,Shipping,Diversified,FALSE,M,10/02/1955 00:00,Ofer,Idan,1955,10,2,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
128,13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,Healthcare,TRUE,M,09/01/1965 00:00,Chen,Bang,1965,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
